п/п,", '   по-батькові депутата","Результатголосування"
2,"",""
4,"",""
6,Тоцька Тетяна Петрівна,За
8,"",""
10,"",""
12,"",""
14,"",""
16,"",""
18,"",""
20,"",""
22,Володимирович,Проти
24,"",""
26,"",""
28,"",""
30,"",""
32,"",""
34,"",""
36,"",""
"","",""


